,name,ins_id,ticker,isin,instrument_type,market,country,sector,branch
1409,Genova Property,1953,GPG,SE0007184189,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1410,Aker BioMarine,1954,AKBM,NO0010886625,Aktie,Oslo Bors,Norge,Dagligvaror,Hälsoprodukter
1411,Ayfie,1955,AYFIE,NO0012861683,Aktie,Oslo Growth,Norge,Informationsteknik,Affärs- & IT-System
1412,Northern CapSek,1956,CAPS,SE0014452942,Aktie,NGM,Sverige,Finans & Fastighet,Investmentbolag
1413,EXACT Therapeutics,1959,EXTX,NO0010852213,Aktie,Oslo Growth,Norge,Hälsovård,Medicinsk Utrustning
1414,ININ Group,1960,ININ,NO0010864036,Aktie,Oslo Growth,Norge,Industri,Mätning & Analys
1415,Sikri Group,1962,SIKRI,NO0012548819,Aktie,Oslo Bors,Norge,Informationsteknik,Affärs- & IT-System
1416,Aker Carbon Capture,1963,ACC,NO0010890304,Aktie,Oslo Bors,Norge,Industri,Energi & Återvinning
1417,BEWi,1965,BEWI,NO0010890965,Aktie,Oslo Bors,Norge,Material,Kemikalier
1418,Instabank,1966,INSTA,NO0010762792,Aktie,Oslo Growth,Norge,Finans & Fastighet,Banker
1419,Spotlight Group,1967,SPGR,SE0014704763,Aktie,Spotlight,Sverige,Finans & Fastighet,Kapitalförvaltning
1420,Exsitec,1968,EXS,SE0014035762,Aktie,First North,Sverige,Informationsteknik,IT-Konsulter
1421,Partnera,1969,PARTNE1,FI0009009559,Aktie,First North,Finland,Finans & Fastighet,Investmentbolag
1422,Mdundo.com,1970,MDUNDO,DK0061286101,Aktie,First North,Danmark,Informationsteknik,Internettjänster
1423,Readly,1971,READ,SE0014855292,Aktie,Small Cap,Sverige,Sällanköpsvaror,Media & Publicering
1424,Implantica,1972,IMP A SDB,SE0014855029,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1425,Energy Save,1973,ESGR B,SE0014428447,Aktie,Spotlight,Sverige,Industri,Energi & Återvinning
1426,Lifeclean,1974,LCLEAN,SE0014829271,Aktie,First North,Sverige,Material,Kemikalier
1427,Neola Medical,1975,NEOLA,SE0014829255,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1428,Curasight,1976,CURAS,DK0061295797,Aktie,Spotlight,Danmark,Hälsovård,Läkemedel
1429,MGI - Media & Games,1977,M8G,SE0018538068,Aktie,First North,Sverige,Sällanköpsvaror,Gaming & Spel
1430,CSAM Health,1978,CSAM,NO0010894512,Aktie,Oslo Growth,Norge,Informationsteknik,Affärs- & IT-System
1431,Qliro,1979,QLIRO,SE0013719077,Aktie,Small Cap,Sverige,Finans & Fastighet,Kredit & Finansiering
